index,zone,slack,voltage
n3303,south,True,220.0
n3304,south,False,380.0
n3305,south,False,380.0
n3306,south,False,380.0
n3307,south,False,220.0
n3308,south,False,380.0
n3309,south,False,380.0
n3310,south,False,220.0
n3311,south,False,380.0
n3312,south,False,380.0
n3313,south,False,380.0
n3314,south,False,380.0
n3315,south,False,380.0
n3316,south,False,220.0
n3317,south,False,380.0
n3318,south,False,220.0
n3319,south,False,380.0
n3320,south,False,220.0
n3321,south,False,220.0
n3322,south,False,380.0
n3323,south,False,220.0
n3324,south,False,380.0
n3348,AT,False,220.0
n3453,south,False,380.0
n3454,south,False,220.0
n3455,south,False,380.0
n3456,south,False,220.0
n3457,south,False,380.0
n3458,south,False,220.0
n3459,south,False,380.0
n3460,south,False,220.0
n3461,south,False,380.0
n3462,south,False,380.0
n3463,south,False,220.0
n3464,south,False,220.0
n3465,south,False,380.0
n3466,south,False,220.0
n3467,south,False,380.0
n3468,south,False,220.0
n3469,south,False,220.0
n3470,south,False,380.0
n3471,south,False,220.0
n3472,south,False,380.0
n3473,south,False,380.0
n3474,south,False,220.0
n3475,south,False,380.0
n3476,south,False,380.0
n3477,south,False,380.0
n3478,south,False,380.0
n3479,south,False,380.0
n3480,south,False,380.0
n3481,south,False,380.0
n3482,south,False,220.0
n3483,south,False,380.0
n3484,south,False,380.0
n3485,south,False,380.0
n3486,south,False,380.0
n3487,south,False,220.0
n3488,south,False,380.0
n3489,south,False,220.0
n3490,south,False,380.0
n3491,south,False,220.0
n3492,south,False,380.0
n3493,south,False,380.0
n3494,south,False,220.0
n3495,south,False,380.0
n3496,south,False,380.0
n3497,south,False,380.0
n3498,south,False,380.0
n3499,south,False,220.0
n3500,south,False,380.0
n3501,south,False,380.0
n3502,south,False,380.0
n3503,south,False,380.0
n3504,south,False,220.0
n3505,south,False,220.0
n3507,south,False,380.0
n3512,AT,False,380.0
n3520,AT,False,380.0
n3581,FR,False,380.0
n3587,FR,False,220.0
n3610,FR,False,380.0
n3735,CH,False,380.0
n3739,CH,False,380.0
n3827,CH,False,380.0
n3848,south,False,220.0
n4494,CZ,False,380.0
n4496,east,False,380.0
n4497,east,False,380.0
n4498,north_east,False,380.0
n4499,south,False,380.0
n4500,south,False,220.0
n4501,east,False,220.0
n4502,east,False,380.0
n4503,north_east,False,380.0
n4504,north_east,False,380.0
n4505,north_east,False,220.0
n4506,north_east,False,380.0
n4507,east,False,380.0
n4508,east,False,380.0
n4509,south,False,380.0
n4510,south,False,380.0
n4511,south,False,220.0
n4512,south,False,380.0
n4513,east,False,220.0
n4514,east,False,380.0
n4515,east,False,220.0
n4516,east,False,380.0
n4517,east,False,220.0
n4518,east,False,380.0
n4519,east,False,380.0
n4520,east,False,220.0
n4521,east,False,380.0
n4522,east,False,220.0
n4523,east,False,220.0
n4524,east,False,220.0
n4525,east,False,380.0
n4526,east,False,220.0
n4527,east,False,380.0
n4528,north_east,False,380.0
n4529,east,False,380.0
n4530,east,False,220.0
n4531,north_east,False,220.0
n4532,north_east,False,220.0
n4533,north_east,False,220.0
n4534,north_east,False,380.0
n4535,north_east,False,220.0
n4536,north_east,False,380.0
n4537,east,False,380.0
n4538,east,False,220.0
n4539,east,False,380.0
n4540,east,False,380.0
n4541,north_east,False,220.0
n4542,north_east,False,380.0
n4543,north_east,False,380.0
n4544,north_east,False,380.0
n4545,north_east,False,220.0
n4546,north_east,False,380.0
n4547,east,False,380.0
n4548,east,False,380.0
n4549,east,False,380.0
n4550,north_east,False,380.0
n4551,north_east,False,380.0
n4552,north_east,False,380.0
n4553,east,False,380.0
n4554,east,False,380.0
n4555,east,False,380.0
n4556,east,False,380.0
n4557,east,False,380.0
n4558,east,False,380.0
n4559,east,False,380.0
n4560,east,False,220.0
n4561,east,False,380.0
n4562,east,False,380.0
n4569,PL,False,380.0
n4575,east,False,220.0
n4576,north_east,False,380.0
n4577,north_east,False,220.0
n4579,north_east,False,380.0
n4580,south,False,220.0
n4581,south,False,380.0
n4583,south,False,220.0
n4584,west,False,220.0
n4585,west,False,380.0
n4586,south,False,380.0
n4587,south,False,220.0
n4588,south,False,380.0
n4589,west,False,220.0
n4590,west,False,220.0
n4591,west,False,380.0
n4592,west,False,380.0
n4593,west,False,220.0
n4594,west,False,220.0
n4595,west,False,220.0
n4596,north_east,False,380.0
n4597,south,False,380.0
n4598,south,False,220.0
n4599,south,False,220.0
n4600,south,False,220.0
n4601,south,False,220.0
n4602,south,False,380.0
n4603,south,False,220.0
n4604,west,False,380.0
n4605,south,False,220.0
n4606,south,False,380.0
n4607,south,False,380.0
n4608,south,False,220.0
n4609,south,False,380.0
n4610,south,False,220.0
n4611,south,False,220.0
n4612,south,False,220.0
n4613,south,False,380.0
n4614,south,False,220.0
n4615,south,False,380.0
n4616,south,False,380.0
n4617,south,False,220.0
n4618,south,False,220.0
n4619,south,False,380.0
n4620,south,False,380.0
n4621,west,False,380.0
n4622,west,False,220.0
n4623,west,False,380.0
n4624,west,False,380.0
n4625,west,False,380.0
n4626,west,False,380.0
n4627,west,False,380.0
n4628,west,False,380.0
n4629,west,False,220.0
n4630,west,False,380.0
n4631,west,False,220.0
n4632,west,False,380.0
n4633,west,False,220.0
n4634,west,False,380.0
n4635,west,False,380.0
n4636,west,False,220.0
n4637,west,False,380.0
n4638,west,False,220.0
n4639,west,False,380.0
n4640,west,False,220.0
n4641,west,False,380.0
n4642,west,False,220.0
n4643,west,False,380.0
n4644,west,False,220.0
n4645,west,False,380.0
n4646,west,False,220.0
n4647,west,False,380.0
n4648,west,False,220.0
n4649,west,False,380.0
n4650,west,False,220.0
n4651,west,False,380.0
n4652,west,False,220.0
n4653,west,False,380.0
n4654,west,False,220.0
n4655,west,False,380.0
n4656,west,False,220.0
n4657,west,False,380.0
n4658,west,False,380.0
n4659,west,False,220.0
n4660,west,False,380.0
n4661,west,False,220.0
n4662,west,False,220.0
n4663,west,False,380.0
n4664,west,False,380.0
n4665,west,False,380.0
n4666,west,False,380.0
n4667,west,False,380.0
n4668,west,False,220.0
n4669,west,False,380.0
n4670,west,False,220.0
n4671,west,False,380.0
n4672,west,False,220.0
n4673,west,False,380.0
n4674,west,False,380.0
n4675,west,False,380.0
n4676,west,False,220.0
n4677,west,False,380.0
n4678,west,False,220.0
n4679,west,False,380.0
n4680,west,False,220.0
n4681,west,False,380.0
n4682,west,False,380.0
n4683,west,False,220.0
n4684,west,False,380.0
n4685,west,False,220.0
n4686,west,False,220.0
n4687,west,False,380.0
n4688,west,False,220.0
n4689,west,False,220.0
n4690,west,False,380.0
n4691,west,False,220.0
n4692,west,False,220.0
n4693,west,False,380.0
n4694,west,False,380.0
n4695,west,False,380.0
n4696,west,False,220.0
n4697,west,False,380.0
n4698,west,False,220.0
n4699,west,False,380.0
n4700,west,False,220.0
n4701,west,False,380.0
n4702,west,False,220.0
n4703,west,False,380.0
n4704,west,False,220.0
n4705,west,False,380.0
n4706,west,False,220.0
n4707,west,False,380.0
n4708,south,False,380.0
n4709,south,False,220.0
n4710,south,False,380.0
n4711,south,False,380.0
n4712,south,False,380.0
n4713,south,False,380.0
n4714,south,False,380.0
n4715,west,False,380.0
n4716,south,False,220.0
n4717,south,False,220.0
n4718,south,False,380.0
n4719,south,False,220.0
n4720,south,False,220.0
n4721,south,False,380.0
n4722,south,False,380.0
n4723,south,False,380.0
n4724,south,False,220.0
n4725,south,False,380.0
n4726,south,False,380.0
n4727,west,False,380.0
n4728,west,False,380.0
n4729,south,False,380.0
n4730,west,False,380.0
n4731,west,False,380.0
n4732,south,False,220.0
n4733,south,False,220.0
n4734,south,False,380.0
n4735,south,False,220.0
n4736,south,False,380.0
n4737,west,False,380.0
n4738,west,False,380.0
n4739,west,False,380.0
n4740,west,False,380.0
n4741,west,False,380.0
n4742,west,False,220.0
n4743,west,False,380.0
n4744,west,False,220.0
n4745,west,False,380.0
n4746,west,False,220.0
n4747,west,False,380.0
n4748,west,False,220.0
n4749,west,False,220.0
n4750,west,False,380.0
n4751,west,False,380.0
n4752,west,False,220.0
n4753,west,False,380.0
n4754,west,False,380.0
n4755,west,False,220.0
n4756,west,False,220.0
n4757,south,False,380.0
n4758,south,False,380.0
n4759,south,False,380.0
n4760,south,False,380.0
n4761,west,False,220.0
n4762,west,False,220.0
n4763,west,False,220.0
n4764,east,False,380.0
n4765,south,False,380.0
n4766,south,False,380.0
n4767,east,False,220.0
n4768,west,False,220.0
n4769,west,False,220.0
n4770,west,False,380.0
n4771,west,False,220.0
n4772,west,False,380.0
n4773,west,False,380.0
n4774,west,False,220.0
n4775,west,False,220.0
n4776,west,False,380.0
n4777,south,False,380.0
n4778,west,False,380.0
n4779,west,False,380.0
n4780,west,False,380.0
n4781,south,False,220.0
n4782,south,False,380.0
n4783,east,False,380.0
n4784,west,False,380.0
n4785,south,False,380.0
n4786,west,False,380.0
n4787,south,False,220.0
n4788,south,False,380.0
n4789,west,False,220.0
n4790,west,False,380.0
n4791,west,False,380.0
n4793,LU,False,220.0
n4798,LU,False,220.0
n4799,LU,False,220.0
n4800,LU,False,220.0
n4825,FR,False,380.0
n4826,FR,False,220.0
n4836,NL,False,380.0
n4842,NL,False,380.0
n4844,south,False,220.0
n4845,south,False,380.0
n4846,south,False,380.0
n4847,south,False,220.0
n4848,south,False,380.0
n4852,south,False,380.0
n4854,south,False,380.0
n4855,south,False,380.0
n5525,DK,True,380.0
n5534,north_east,False,380.0
n5535,north_east,False,220.0
n5536,north_east,False,380.0
n5537,north_east,False,220.0
n5538,north_east,False,380.0
n5539,north_east,False,380.0
n5540,north_east,False,220.0
n5541,north_east,False,380.0
n5542,north_east,False,380.0
n5543,north_east,False,132.0
n5544,north_east,False,220.0
n5545,north_east,False,380.0
n5546,north_east,False,220.0
n5547,north_east,False,380.0
n5549,north_east,False,220.0
n5550,north_east,False,380.0
n5551,north_east,False,220.0
n5552,north_east,False,380.0
n5553,north_east,False,220.0
n5554,north_east,False,380.0
n5555,north_east,False,380.0
n5556,north_east,False,380.0
n5557,north_east,False,132.0
n5559,PL,False,380.0
n5572,SE,True,380.0
n5579,north_east,False,132.0
n5591,north_east,False,220.0
n5592,north_east,False,380.0
n5596,north_east,False,380.0
n5597,north_east,False,380.0
n5598,north_east,False,380.0
n5599,north_east,False,380.0
n5602,DK,False,132.0
n5606,DK,False,380.0
n5643,north_west,False,220.0
n5644,north_west,False,220.0
n5645,north_west,False,220.0
n5646,north_west,False,220.0
n5647,north_west,False,380.0
n5648,north_west,False,132.0
n5649,north_west,False,380.0
n5650,north_west,False,380.0
n5651,north_west,False,220.0
n5653,north_west,False,220.0
n5654,north_west,False,380.0
n5655,north_west,False,220.0
n5656,north_west,False,220.0
n5657,north_west,False,220.0
n5658,north_west,False,380.0
n5659,north_west,False,380.0
n5660,west,False,380.0
n5661,north_west,False,380.0
n5662,north_west,False,220.0
n5663,north_west,False,220.0
n5664,north_west,False,220.0
n5665,north_west,False,380.0
n5666,north_west,False,220.0
n5667,north_west,False,380.0
n5668,north_west,False,380.0
n5669,north_west,False,220.0
n5670,north_west,False,380.0
n5671,north_west,False,380.0
n5672,north_west,False,220.0
n5673,north_west,False,380.0
n5674,north_west,False,220.0
n5675,north_west,False,380.0
n5676,north_west,False,220.0
n5677,north_west,False,380.0
n5678,north_west,False,220.0
n5679,north_west,False,380.0
n5680,north_west,False,220.0
n5681,north_west,False,380.0
n5682,north_west,False,380.0
n5683,north_west,False,220.0
n5684,north_west,False,220.0
n5685,north_west,False,380.0
n5686,north_west,False,380.0
n5687,north_west,False,220.0
n5688,north_west,False,380.0
n5689,north_west,False,220.0
n5690,north_west,False,380.0
n5692,north_west,False,380.0
n5693,north_west,False,380.0
n5694,north_west,False,380.0
n5695,north_west,False,132.0
n5696,north_west,False,220.0
n5697,north_west,False,380.0
n5702,NL,False,380.0
n7151,south,False,380.0
n5710,north_west,False,220.0
n5711,north_west,False,220.0
n5713,north_west,False,132.0
n5714,north_west,False,220.0
n5718,north_west,True,500.0
n5722,north_west,False,132.0
n5724,north_west,True,500.0
n5725,north_west,True,500.0
n5726,north_west,False,132.0
n5732,north_west,False,380.0
n5733,north_west,False,380.0
n5734,north_west,False,380.0
n5735,north_west,False,220.0
n5738,west,False,380.0
n5739,north_west,False,380.0
n6839,west,False,220.0
n6841,west,False,220.0
n6842,west,False,380.0
n6843,west,False,220.0
n6844,west,False,380.0
n6845,south,False,380.0
n6846,south,False,220.0
n6847,south,False,380.0
n6848,west,False,220.0
n6849,west,False,380.0
n6850,east,False,380.0
n6851,south,False,220.0
n6852,south,False,380.0
n6853,south,False,380.0
n6854,south,False,220.0
n7261,south,False,380.0
n7264,north_west,False,220.0
n7266,south,False,220.0
n7267,south,False,380.0
n7268,south,False,220.0
n7269,south,False,380.0
n7270,south,False,220.0
n7271,south,False,380.0
n7272,north_east,False,380.0
n7273,south,False,380.0
n7274,south,False,380.0
n7275,north_east,False,380.0
n7276,south,False,380.0
n7277,south,False,380.0
n7278,south,False,380.0
n7279,south,False,380.0
n7280,south,False,380.0
n7281,south,False,380.0
n7282,west,False,380.0
n7486,north_west,False,220.0
n7487,east,False,380.0
n7489,north_east,False,380.0
n7610,north_east,False,220.0
n7637,north_east,False,380.0
n7641,east,False,380.0
n7649,south,False,220.0
n7652,south,False,220.0
n7653,south,False,380.0
n7672,east,False,380.0
n7681,north_west,False,380.0
n7682,east,False,380.0
n7688,north_east,False,380.0
n7704,south,False,380.0
n7711,south,False,380.0
n7712,south,False,380.0
n7720,north_east,False,220.0
n7721,north_east,False,380.0
n7723,west,False,220.0
n7724,west,False,380.0
n7726,north_east,False,220.0
n7729,DK,False,220.0
n7745,south,False,380.0
n7756,south,False,380.0
n7760,north_east,False,380.0
n7769,south,False,220.0
n7783,south,False,380.0
n7786,west,False,380.0
n7788,east,False,380.0
n7790,south,False,220.0
n7791,south,False,380.0
n7795,west,False,220.0
n7798,south,False,380.0
n7800,west,False,380.0
n7805,east,False,380.0
n7823,south,False,220.0
n7850,south,False,380.0
n7852,west,False,220.0
n7857,south,False,380.0
n7863,west,False,380.0
n7870,north_east,False,380.0
n7871,north_west,False,380.0
n7872,west,False,220.0
n7873,west,False,380.0
n7878,north_west,False,380.0
n7879,north_west,False,220.0
n7884,west,False,220.0
n7888,south,False,220.0
n7889,south,False,380.0
n7890,south,False,380.0
n7892,east,False,220.0
n7897,west,False,380.0
n7901,north_east,False,220.0
n7907,east,False,380.0
n7910,south,False,220.0
n7913,south,False,380.0
n7916,east,False,380.0
n7933,east,False,380.0
n7934,north_east,False,380.0
n7938,west,False,220.0
n7939,north_east,False,380.0
n7941,west,False,380.0
n7944,south,False,380.0
n7952,north_west,False,220.0
n7959,south,False,380.0
n7961,CZ,False,380.0
n7967,north_east,False,380.0
n7975,south,False,220.0
n7976,west,False,380.0
n7983,west,False,380.0
n7984,south,False,220.0
n7988,north_east,False,380.0
n7989,north_east,False,220.0
n7996,west,False,220.0
n7998,west,False,380.0
n8002,west,False,380.0
n8013,south,False,380.0
n8015,west,False,380.0
n8016,east,False,220.0
n8028,west,False,380.0
n8043,north_west,False,220.0
n8045,south,False,220.0
n8046,south,False,380.0
n8047,west,False,380.0
n8051,north_west,False,380.0
n8052,north_west,False,380.0
n8055,west,False,220.0
n8060,north_west,False,220.0
n8061,south,False,380.0
n8066,north_east,False,380.0
